Category;Folder;Audio;Video;Arousal_V_Aligned;Arousal_A_Aligned;Arousal_AV_Aligned;Valence_A_Aligned;Valence_V_Aligned;Valence_AV_Aligned;Translated_Text
C3;SSD_C3_S079_P158_VC1_002151_003421;SEWA/SEWAv02/SSD_C3_S079_P158_VC1_002151_003421/SSD_C3_S079_VC1_002151_003421.wav;SSD_C3_S079_P158_VC1_002151_003421.avi;SSD_C3_S079_P158_VC1_002151_003421_Arousal_V_Aligned.csv;SSD_C3_S079_P158_VC1_002151_003421_Arousal_A_Aligned.csv;SSD_C3_S079_P158_VC1_002151_003421_Arousal_AV_Aligned.csv;SSD_C3_S079_P158_VC1_002151_003421_Valence_A_Aligned.csv;SSD_C3_S079_P158_VC1_002151_003421_Valence_V_Aligned.csv;SSD_C3_S079_P158_VC1_002151_003421_Valence_AV_Aligned.csv;But somehow this idea of the ad spot had taken too long for me. So that you have to show it with 10,000 different variants, how to make your fingers dirty or can, to then simultaneously bring the same solution into play again, that you have this great water. Yes, it was a bit boring for me.
C3;SSD_C3_S072_P143_VC1_001771_002541;SEWA/SEWAv02/SSD_C3_S072_P143_VC1_001771_002541/SSD_C3_S072_VC1_001771_002541.wav;SSD_C3_S072_P143_VC1_001771_002541.avi;SSD_C3_S072_P143_VC1_001771_002541_Arousal_V_Aligned.csv;SSD_C3_S072_P143_VC1_001771_002541_Arousal_A_Aligned.csv;SSD_C3_S072_P143_VC1_001771_002541_Arousal_AV_Aligned.csv;SSD_C3_S072_P143_VC1_001771_002541_Valence_A_Aligned.csv;SSD_C3_S072_P143_VC1_001771_002541_Valence_V_Aligned.csv;SSD_C3_S072_P143_VC1_001771_002541_Valence_AV_Aligned.csv; But I didn't think it was that innovative. First you had to hold your arm and then you had to push the goal again. Last time he did another shot.
C6;SAH_C6_S181_P362_VC1_000742_001590;SEWA/SEWAv02/SAH_C6_S181_P362_VC1_000742_001590/SAH_C6_S181_VC1_000742_001590.wav;SAH_C6_S181_P362_VC1_000742_001590.avi;SAH_C6_S181_P362_VC1_000742_001590_Arousal_V_Aligned.csv;SAH_C6_S181_P362_VC1_000742_001590_Arousal_A_Aligned.csv;SAH_C6_S181_P362_VC1_000742_001590_Arousal_AV_Aligned.csv;SAH_C6_S181_P362_VC1_000742_001590_Valence_A_Aligned.csv;SAH_C6_S181_P362_VC1_000742_001590_Valence_V_Aligned.csv;SAH_C6_S181_P362_VC1_000742_001590_Valence_AV_Aligned.csv; I think that Elena has something to love. And why? Because she is for people who like her. She likes cleanliness in general, I think she likes cleanliness in general.
C3;SSD_C3_S077_P154_VC1_003071_003801;SEWA/SEWAv02/SSD_C3_S077_P154_VC1_003071_003801/SSD_C3_S077_VC1_003071_003801.wav;SSD_C3_S077_P154_VC1_003071_003801.avi;SSD_C3_S077_P154_VC1_003071_003801_Arousal_V_Aligned.csv;SSD_C3_S077_P154_VC1_003071_003801_Arousal_A_Aligned.csv;SSD_C3_S077_P154_VC1_003071_003801_Arousal_AV_Aligned.csv;SSD_C3_S077_P154_VC1_003071_003801_Valence_A_Aligned.csv;SSD_C3_S077_P154_VC1_003071_003801_Valence_V_Aligned.csv;SSD_C3_S077_P154_VC1_003071_003801_Valence_AV_Aligned.csv; The key point behind it is how do I set the temperature now? What if I need warm or cold water? In the end, the water is set to hot and you have to take off the brats first before you can get any water out.
C6;SSL_C6_S166_P332_VC1_001336_004670;SEWA/SEWAv02/SSL_C6_S166_P332_VC1_001336_004670/SSL_C6_S166_VC1_001336_004670.wav;SSL_C6_S166_P332_VC1_001336_004670.avi;SSL_C6_S166_P332_VC1_001336_004670_Arousal_V_Aligned.csv;SSL_C6_S166_P332_VC1_001336_004670_Arousal_A_Aligned.csv;SSL_C6_S166_P332_VC1_001336_004670_Arousal_AV_Aligned.csv;SSL_C6_S166_P332_VC1_001336_004670_Valence_A_Aligned.csv;SSL_C6_S166_P332_VC1_001336_004670_Valence_V_Aligned.csv;SSL_C6_S166_P332_VC1_001336_004670_Valence_AV_Aligned.csv; I like the fact that there are so many pictures and I like that there is no word to sell it and you just show it with pictures and I also think that it has a lot of sense of humor that I know I don't know. Maybe my music seems monotonous. You know, I was expecting something more internal, something extra to make this... how do you say it...the noise. But I didn't... You were waiting for me to say the top. Yes, I think I was waiting too. But in general I liked it. The images were great. You liked it. And the product is interesting because it is indeed a smell that if you think about it, many times we go to wash our hands and then we have to clean the little finger. So, it's not necessary. Yes, it's good. The concept. What else? From colors and all that, did you like it? Yes, it was a very clean, very sleek and clean image and I think that was the point, to show that you remain clean despite the fact that you do various activities
C2;SAL_C2_S050_P099_VC1_003700_004484;SEWA/SEWAv02/SAL_C2_S050_P099_VC1_003700_004484/SAL_C2_S050_VC1_003700_004484.wav;SAL_C2_S050_P099_VC1_003700_004484.avi;SAL_C2_S050_P099_VC1_003700_004484_Arousal_V_Aligned.csv;SAL_C2_S050_P099_VC1_003700_004484_Arousal_A_Aligned.csv;SAL_C2_S050_P099_VC1_003700_004484_Arousal_AV_Aligned.csv;SAL_C2_S050_P099_VC1_003700_004484_Valence_A_Aligned.csv;SAL_C2_S050_P099_VC1_003700_004484_Valence_V_Aligned.csv;SAL_C2_S050_P099_VC1_003700_004484_Valence_AV_Aligned.csv; Yes, we mix the yeast with the flour. I think it's not very lucky in an advertisement that they start mixing the yeast with the flour. Yes. Yes, and you, Tegi? as it go. Yeah. Yeah. I'm not going to take these on
C6;SAL_C6_S177_P354_VC1_000116_002259;SEWA/SEWAv02/SAL_C6_S177_P354_VC1_000116_002259/SAL_C6_S177_VC1_000116_002259.wav;SAL_C6_S177_P354_VC1_000116_002259.avi;SAL_C6_S177_P354_VC1_000116_002259_Arousal_V_Aligned.csv;SAL_C6_S177_P354_VC1_000116_002259_Arousal_A_Aligned.csv;SAL_C6_S177_P354_VC1_000116_002259_Arousal_AV_Aligned.csv;SAL_C6_S177_P354_VC1_000116_002259_Valence_A_Aligned.csv;SAL_C6_S177_P354_VC1_000116_002259_Valence_V_Aligned.csv;SAL_C6_S177_P354_VC1_000116_002259_Valence_AV_Aligned.csv; Come on. Can you hear me? Eh? I can't hear you. Eh? Ah, now you can hear me. How did you like it? It was great. It was great. I think it's great that the artist has combined everyday activities with the epic music from behind but after a while it was a bit heavy that it was so successful Yes, but it's a nice voice
C2;SVL_C2_S038_P075_VC1_000190_000785;SEWA/SEWAv02/SVL_C2_S038_P075_VC1_000190_000785/SVL_C2_S038_VC1_000190_000785.wav;SVL_C2_S038_P075_VC1_000190_000785.avi;SVL_C2_S038_P075_VC1_000190_000785_Arousal_V_Aligned.csv;SVL_C2_S038_P075_VC1_000190_000785_Arousal_A_Aligned.csv;SVL_C2_S038_P075_VC1_000190_000785_Arousal_AV_Aligned.csv;SVL_C2_S038_P075_VC1_000190_000785_Valence_A_Aligned.csv;SVL_C2_S038_P075_VC1_000190_000785_Valence_V_Aligned.csv;SVL_C2_S038_P075_VC1_000190_000785_Valence_AV_Aligned.csv; In my opinion, when children have to mess around with anything and smear themselves, I always find it very forced and it irritates me. Led, what's up? I think it's a long time ago.
C4;SAL_C4_S099_P198_VC1_001851_002350;SEWA/SEWAv02/SAL_C4_S099_P198_VC1_001851_002350/SAL_C4_S099_VC1_001851_002350.wav;SAL_C4_S099_P198_VC1_001851_002350.avi;SAL_C4_S099_P198_VC1_001851_002350_Arousal_V_Aligned.csv;SAL_C4_S099_P198_VC1_001851_002350_Arousal_A_Aligned.csv;SAL_C4_S099_P198_VC1_001851_002350_Arousal_AV_Aligned.csv;SAL_C4_S099_P198_VC1_001851_002350_Valence_A_Aligned.csv;SAL_C4_S099_P198_VC1_001851_002350_Valence_V_Aligned.csv;SAL_C4_S099_P198_VC1_001851_002350_Valence_AV_Aligned.csv; the music was kind of at odds to the content. I found it quite annoying in the end.
C1;SVL_C1_S014_P027_VC1_004045_006075;SEWA/SEWAv02/SVL_C1_S014_P027_VC1_004045_006075/SVL_C1_S014_VC1_004045_006075.wav;SVL_C1_S014_P027_VC1_004045_006075.avi;SVL_C1_S014_P027_VC1_004045_006075_Arousal_V_Aligned.csv;SVL_C1_S014_P027_VC1_004045_006075_Arousal_A_Aligned.csv;SVL_C1_S014_P027_VC1_004045_006075_Arousal_AV_Aligned.csv;SVL_C1_S014_P027_VC1_004045_006075_Valence_A_Aligned.csv;SVL_C1_S014_P027_VC1_004045_006075_Valence_V_Aligned.csv;SVL_C1_S014_P027_VC1_004045_006075_Valence_AV_Aligned.csv;So director Li, please comment from a professional perspective on this ad. It's very common, and the camera is also very difficult to use. The point itself is good, but the problem is that it didn't extend it. It's just focusing emphasized the function itself. I feel like there's less creativity. Oh. Yes. Okay.
C6;SSD_C6_S190_P379_VC1_000266_001656;SEWA/SEWAv02/SSD_C6_S190_P379_VC1_000266_001656/SSD_C6_S190_VC1_000266_001656.wav;SSD_C6_S190_P379_VC1_000266_001656.avi;SSD_C6_S190_P379_VC1_000266_001656_Arousal_V_Aligned.csv;SSD_C6_S190_P379_VC1_000266_001656_Arousal_A_Aligned.csv;SSD_C6_S190_P379_VC1_000266_001656_Arousal_AV_Aligned.csv;SSD_C6_S190_P379_VC1_000266_001656_Valence_A_Aligned.csv;SSD_C6_S190_P379_VC1_000266_001656_Valence_V_Aligned.csv;SSD_C6_S190_P379_VC1_000266_001656_Valence_AV_Aligned.csv; The third advertisement was about the ease of the technology. With one touch, it made it easier for you to open the web, while your hands were wet and you couldn't open them. Right. And it shows how advanced the technology has been. How advanced it has been promoted? Great. I will comment on the marketing side.
C6;SSL_C6_S180_P359_VC1_001744_005672;SEWA/SEWAv02/SSL_C6_S180_P359_VC1_001744_005672/SSL_C6_S180_VC1_001744_005672.wav;SSL_C6_S180_P359_VC1_001744_005672.avi;SSL_C6_S180_P359_VC1_001744_005672_Arousal_V_Aligned.csv;SSL_C6_S180_P359_VC1_001744_005672_Arousal_A_Aligned.csv;SSL_C6_S180_P359_VC1_001744_005672_Arousal_AV_Aligned.csv;SSL_C6_S180_P359_VC1_001744_005672_Valence_A_Aligned.csv;SSL_C6_S180_P359_VC1_001744_005672_Valence_V_Aligned.csv;SSL_C6_S180_P359_VC1_001744_005672_Valence_AV_Aligned.csv;Yes, it was a very nice idea. But of course, 15 hours and they showed us the same thing. Did any other trick that makes you shiver show up? Or did you do something else? I think something went to show at the end, but I didn't predict it. Because I turned my eyes for a while, because eyes and saw the same thing a hundred times. Yes. I thought it didn't have any other feature, but in the end there was something else that opened something with a lot of pressure. Ah, no, you pressed a button and it came out like a dooz. ... I would like to see more such small devices, which are touch and open, like the little baskets in the toilets, where you put your hand in front of it and you start running and you have to sit down so you don't get dirty. You don't even touch the heater. Oh yes, you don't even touch it. But these are smart things. Because even this with the law of touching, so as not to touch with dirty hands. They gave us all the dirty hands that exist to understand this thing. You see that my open tulip is in the dark. I'm always watching the opening of my TV in the forest. Ah, you haven't even been certified yet. You were already being certified. I always wanted to have a voice like that. I also look like that!
C2;SAL_C2_S195_P389_VC1_002919_005001;SEWA/SEWAv02/SAL_C2_S195_P389_VC1_002919_005001/SAL_C2_S195_VC1_002919_005001.wav;SAL_C2_S195_P389_VC1_002919_005001.avi;SAL_C2_S195_P389_VC1_002919_005001_Arousal_V_Aligned.csv;SAL_C2_S195_P389_VC1_002919_005001_Arousal_A_Aligned.csv;SAL_C2_S195_P389_VC1_002919_005001_Arousal_AV_Aligned.csv;SAL_C2_S195_P389_VC1_002919_005001_Valence_A_Aligned.csv;SAL_C2_S195_P389_VC1_002919_005001_Valence_V_Aligned.csv;SAL_C2_S195_P389_VC1_002919_005001_Valence_AV_Aligned.csv; I think we haven't had a long time to talk about the same issue. And yes, it's still a very difficult issue. And he was really good with his hands, he was really good with his hands, he was really good with his hands, I don't know what else, but he was really good with his hands and he was really hot and we had to touch it and it started to move. I don't understand how we can set the temperature of the water, which we used to do in the past.
C5;SAL_C5_S132_P263_VC1_003001_003401;SEWA/SEWAv02/SAL_C5_S132_P263_VC1_003001_003401/SAL_C5_S132_VC1_003001_003401.wav;SAL_C5_S132_P263_VC1_003001_003401.avi;SAL_C5_S132_P263_VC1_003001_003401_Arousal_V_Aligned.csv;SAL_C5_S132_P263_VC1_003001_003401_Arousal_A_Aligned.csv;SAL_C5_S132_P263_VC1_003001_003401_Arousal_AV_Aligned.csv;SAL_C5_S132_P263_VC1_003001_003401_Valence_A_Aligned.csv;SAL_C5_S132_P263_VC1_003001_003401_Valence_V_Aligned.csv;SAL_C5_S132_P263_VC1_003001_003401_Valence_AV_Aligned.csv; Yes, there is something like water, use water,
C1;SAH_C1_S014_P028_VC1_000588_001854;SEWA/SEWAv02/SAH_C1_S014_P028_VC1_000588_001854/SAH_C1_S014_VC1_000588_001854.wav;SAH_C1_S014_P028_VC1_000588_001854.avi;SAH_C1_S014_P028_VC1_000588_001854_Arousal_V_Aligned.csv;SAH_C1_S014_P028_VC1_000588_001854_Arousal_A_Aligned.csv;SAH_C1_S014_P028_VC1_000588_001854_Arousal_AV_Aligned.csv;SAH_C1_S014_P028_VC1_000588_001854_Valence_A_Aligned.csv;SAH_C1_S014_P028_VC1_000588_001854_Valence_V_Aligned.csv;SAH_C1_S014_P028_VC1_000588_001854_Valence_AV_Aligned.csv;Let me talk about this product first. I like this product very much. It is especially suitable for people like me who have strict requirements on hygiene. The water boils when I touch it. It is really good. There will be dirty things if you touch it. It also has skin contact. Are you touching it with other parts of your arm? Right? Your hand itself doesn't touch that
C2;SAL_C2_S048_P095_VC1_003085_003710;SEWA/SEWAv02/SAL_C2_S048_P095_VC1_003085_003710/SAL_C2_S048_VC1_003085_003710.wav;SAL_C2_S048_P095_VC1_003085_003710.avi;SAL_C2_S048_P095_VC1_003085_003710_Arousal_V_Aligned.csv;SAL_C2_S048_P095_VC1_003085_003710_Arousal_A_Aligned.csv;SAL_C2_S048_P095_VC1_003085_003710_Arousal_AV_Aligned.csv;SAL_C2_S048_P095_VC1_003085_003710_Valence_A_Aligned.csv;SAL_C2_S048_P095_VC1_003085_003710_Valence_V_Aligned.csv;SAL_C2_S048_P095_VC1_003085_003710_Valence_AV_Aligned.csv; and everyday related to it. So it was all human-made. So it's not a professional thing, you say something and it's human. And dogs were in it.
C2;SAH_C2_S037_P073_VC1_002345_002998;SEWA/SEWAv02/SAH_C2_S037_P073_VC1_002345_002998/SAH_C2_S037_VC1_002345_002998.wav;SAH_C2_S037_P073_VC1_002345_002998.avi;SAH_C2_S037_P073_VC1_002345_002998_Arousal_V_Aligned.csv;SAH_C2_S037_P073_VC1_002345_002998_Arousal_A_Aligned.csv;SAH_C2_S037_P073_VC1_002345_002998_Arousal_AV_Aligned.csv;SAH_C2_S037_P073_VC1_002345_002998_Valence_A_Aligned.csv;SAH_C2_S037_P073_VC1_002345_002998_Valence_V_Aligned.csv;SAH_C2_S037_P073_VC1_002345_002998_Valence_AV_Aligned.csv; When I was in the hospital, I had a bandage on my hand, and it was like blood. And I was like... And then I was like... If you feel it in your hand, you can do it.
C3;SSD_C3_S064_P127_VC1_002051_002701;SEWA/SEWAv02/SSD_C3_S064_P127_VC1_002051_002701/SSD_C3_S064_VC1_002051_002701.wav;SSD_C3_S064_P127_VC1_002051_002701.avi;SSD_C3_S064_P127_VC1_002051_002701_Arousal_V_Aligned.csv;SSD_C3_S064_P127_VC1_002051_002701_Arousal_A_Aligned.csv;SSD_C3_S064_P127_VC1_002051_002701_Arousal_AV_Aligned.csv;SSD_C3_S064_P127_VC1_002051_002701_Valence_A_Aligned.csv;SSD_C3_S064_P127_VC1_002051_002701_Valence_V_Aligned.csv;SSD_C3_S064_P127_VC1_002051_002701_Valence_AV_Aligned.csv; And I thought it was funny, because I don't think the part really glows. I think that was an effect. It doesn't shine when I go there. Or it wasn't quite clear to me, because it would also annoy me personally if I went there and it would shine. So I thought that was a bit weird now.
C2;SAH_C2_S044_P088_VC1_000834_001365;SEWA/SEWAv02/SAH_C2_S044_P088_VC1_000834_001365/SAH_C2_S044_VC1_000834_001365.wav;SAH_C2_S044_P088_VC1_000834_001365.avi;SAH_C2_S044_P088_VC1_000834_001365_Arousal_V_Aligned.csv;SAH_C2_S044_P088_VC1_000834_001365_Arousal_A_Aligned.csv;SAH_C2_S044_P088_VC1_000834_001365_Arousal_AV_Aligned.csv;SAH_C2_S044_P088_VC1_000834_001365_Valence_A_Aligned.csv;SAH_C2_S044_P088_VC1_000834_001365_Valence_V_Aligned.csv;SAH_C2_S044_P088_VC1_000834_001365_Valence_AV_Aligned.csv;and they pulled the whole thing away. So you don't have to show it 6 million times if you can somehow put your hand in it. I don't think it was a problem with that,
C4;SSD_C4_S116_P232_VC1_001001_001500;SEWA/SEWAv02/SSD_C4_S116_P232_VC1_001001_001500/SSD_C4_S116_VC1_001001_001500.wav;SSD_C4_S116_P232_VC1_001001_001500.avi;SSD_C4_S116_P232_VC1_001001_001500_Arousal_V_Aligned.csv;SSD_C4_S116_P232_VC1_001001_001500_Arousal_A_Aligned.csv;SSD_C4_S116_P232_VC1_001001_001500_Arousal_AV_Aligned.csv;SSD_C4_S116_P232_VC1_001001_001500_Valence_A_Aligned.csv;SSD_C4_S116_P232_VC1_001001_001500_Valence_V_Aligned.csv;SSD_C4_S116_P232_VC1_001001_001500_Valence_AV_Aligned.csv; laboured the point a bit. Like, I kind of got the message after the seventh, like, example.
C2;SVL_C2_S052_P104_VC1_004088_004607;SEWA/SEWAv02/SVL_C2_S052_P104_VC1_004088_004607/SVL_C2_S052_VC1_004088_004607.wav;SVL_C2_S052_P104_VC1_004088_004607.avi;SVL_C2_S052_P104_VC1_004088_004607_Arousal_V_Aligned.csv;SVL_C2_S052_P104_VC1_004088_004607_Arousal_A_Aligned.csv;SVL_C2_S052_P104_VC1_004088_004607_Arousal_AV_Aligned.csv;SVL_C2_S052_P104_VC1_004088_004607_Valence_A_Aligned.csv;SVL_C2_S052_P104_VC1_004088_004607_Valence_V_Aligned.csv;SVL_C2_S052_P104_VC1_004088_004607_Valence_AV_Aligned.csv; I don't know.
C3;SAL_C3_S091_P181_VC1_000781_001951;SEWA/SEWAv02/SAL_C3_S091_P181_VC1_000781_001951/SAL_C3_S091_VC1_000781_001951.wav;SAL_C3_S091_P181_VC1_000781_001951.avi;SAL_C3_S091_P181_VC1_000781_001951_Arousal_V_Aligned.csv;SAL_C3_S091_P181_VC1_000781_001951_Arousal_A_Aligned.csv;SAL_C3_S091_P181_VC1_000781_001951_Arousal_AV_Aligned.csv;SAL_C3_S091_P181_VC1_000781_001951_Valence_A_Aligned.csv;SAL_C3_S091_P181_VC1_000781_001951_Valence_V_Aligned.csv;SAL_C3_S091_P181_VC1_000781_001951_Valence_AV_Aligned.csv; I thought about whether this makes sense, this technique. And I thought first, there are already motion detectors and so on. That's somehow maybe not at all sensible. vielleicht gar nicht sinnvoll. Also ich finde die Technik an sich macht vielleicht, ist vielleicht cool, weil man, wenn man dann nicht ständig diesen Bewegungsmelder anmacht, wenn man irgendwie Geschirr spült
